external_alarm_id;source_system;date_alerte;code_site;code_equipement;code_service;type_alerte;severite;message;metrique;valeur_mesuree;seuil;unite;statut;fingerprint
SIM-0001;SIMULATEUR_STAGE;2026-06-17 23:36:39;TUN-POP-001;TUN-SRV-NMS-01;APP-OSS;RAM_HIGH;MINEURE;Mémoire RAM élevée : 77%;RAM;77;90;%;NOUVELLE;TUN-POP-001-TUN-SRV-NMS-01-RAM_HIGH
SIM-0002;SIMULATEUR_STAGE;2026-06-16 19:50:39;SOU-DC-001;SOU-SRV-OSS-01;APP-OSS;RAM_HIGH;MAJEURE;Mémoire RAM élevée : 88%;RAM;88;90;%;NOUVELLE;SOU-DC-001-SOU-SRV-OSS-01-RAM_HIGH
SIM-0003;SIMULATEUR_STAGE;2026-06-16 18:24:39;ARI-BTS-014;ARI-ENB-014;APP-OSS;RAM_HIGH;CRITIQUE;Mémoire RAM élevée : 86%;RAM;86;90;%;NOUVELLE;ARI-BTS-014-ARI-ENB-014-RAM_HIGH
SIM-0004;SIMULATEUR_STAGE;2026-06-18 20:17:39;SOU-DC-001;SOU-SRV-OSS-01;MW-BACKHAUL;LINK_DOWN;CRITIQUE;Lien de transmission indisponible;LINK_STATUS;0;1;etat;NOUVELLE;SOU-DC-001-SOU-SRV-OSS-01-LINK_DOWN
SIM-0005;SIMULATEUR_STAGE;2026-06-21 00:10:39;TUN-POP-001;TUN-RTR-CORE-01;APP-OSS;SERVICE_DOWN;CRITIQUE;Service applicatif arrêté;SERVICE_STATUS;0;1;etat;NOUVELLE;TUN-POP-001-TUN-RTR-CORE-01-SERVICE_DOWN
SIM-0006;SIMULATEUR_STAGE;2026-06-17 13:54:39;ARI-BTS-014;ARI-ENB-014;APP-OSS;SERVICE_DOWN;MAJEURE;Service applicatif arrêté;SERVICE_STATUS;0;1;etat;NOUVELLE;ARI-BTS-014-ARI-ENB-014-SERVICE_DOWN
SIM-0007;SIMULATEUR_STAGE;2026-06-25 12:11:39;TUN-POP-001;TUN-SRV-NMS-01;ENERGIE-SITE;POWER_FAIL;CRITIQUE;Défaut énergie site détecté;POWER_FAIL;0;1;etat;NOUVELLE;TUN-POP-001-TUN-SRV-NMS-01-POWER_FAIL
SIM-0008;SIMULATEUR_STAGE;2026-06-17 19:48:39;TUN-POP-001;TUN-SRV-NMS-01;APP-OSS;SERVICE_DOWN;CRITIQUE;Service applicatif arrêté;SERVICE_STATUS;0;1;etat;NOUVELLE;TUN-POP-001-TUN-SRV-NMS-01-SERVICE_DOWN
SIM-0009;SIMULATEUR_STAGE;2026-06-25 08:29:39;TUN-POP-001;TUN-SRV-NMS-01;ENERGIE-SITE;POWER_FAIL;CRITIQUE;Défaut énergie site détecté;POWER_FAIL;0;1;etat;NOUVELLE;TUN-POP-001-TUN-SRV-NMS-01-POWER_FAIL
SIM-0010;SIMULATEUR_STAGE;2026-06-17 04:51:39;SOU-DC-001;SOU-SRV-OSS-01;SUP-NOC;PING_LOSS;CRITIQUE;Perte de paquets élevée : 95%;PING_LOSS;95;80;%;NOUVELLE;SOU-DC-001-SOU-SRV-OSS-01-PING_LOSS
SIM-0011;SIMULATEUR_STAGE;2026-06-25 14:03:39;BIZ-BTS-022;BIZ-ENB-022;MW-BACKHAUL;LINK_DOWN;CRITIQUE;Lien de transmission indisponible;LINK_STATUS;0;1;etat;NOUVELLE;BIZ-BTS-022-BIZ-ENB-022-LINK_DOWN
SIM-0012;SIMULATEUR_STAGE;2026-06-25 09:12:39;NAB-BTS-031;NAB-ENER-031;APP-OSS;RAM_HIGH;CRITIQUE;Mémoire RAM élevée : 84%;RAM;84;90;%;NOUVELLE;NAB-BTS-031-NAB-ENER-031-RAM_HIGH
SIM-0013;SIMULATEUR_STAGE;2026-06-19 08:33:39;BIZ-BTS-022;BIZ-ENB-022;APP-OSS;DISK_FULL;CRITIQUE;Espace disque critique : 86%;DISK_FULL;86;95;%;NOUVELLE;BIZ-BTS-022-BIZ-ENB-022-DISK_FULL
SIM-0014;SIMULATEUR_STAGE;2026-06-19 01:59:39;SOU-DC-001;SOU-SRV-OSS-01;APP-OSS;RAM_HIGH;CRITIQUE;Mémoire RAM élevée : 87%;RAM;87;90;%;NOUVELLE;SOU-DC-001-SOU-SRV-OSS-01-RAM_HIGH
SIM-0015;SIMULATEUR_STAGE;2026-06-23 20:24:39;NAB-BTS-031;NAB-ENER-031;SUP-NOC;AUTH_FAILURE_SPIKE;CRITIQUE;Pic d'authentifications échouées : 79 tentatives;AUTH_FAILURE_SPIKE;79;20;tentatives;NOUVELLE;NAB-BTS-031-NAB-ENER-031-AUTH_FAILURE_SPIKE
SIM-0016;SIMULATEUR_STAGE;2026-06-18 22:41:39;BIZ-BTS-022;BIZ-ENB-022;MW-BACKHAUL;LINK_DOWN;CRITIQUE;Lien de transmission indisponible;LINK_STATUS;0;1;etat;NOUVELLE;BIZ-BTS-022-BIZ-ENB-022-LINK_DOWN
SIM-0017;SIMULATEUR_STAGE;2026-06-18 18:47:39;BIZ-BTS-022;BIZ-ENB-022;SUP-NOC;CPU_HIGH;MINEURE;CPU élevé détecté : 83%;CPU;83;90;%;NOUVELLE;BIZ-BTS-022-BIZ-ENB-022-CPU_HIGH
