reference;date_creation;external_alarm_id;code_site;code_equipement;code_service;titre;categorie;severite;priorite;score_criticite;statut;niveau_escalade
INC-2026-0001;2026-06-17 23:36:39;SIM-0001;TUN-POP-001;TUN-SRV-NMS-01;APP-OSS;Incident RAM_HIGH sur TUN-SRV-NMS-01;SYSTEME;MINEURE;P3_MOYENNE;55;OUVERT;N1
INC-2026-0002;2026-06-16 19:50:39;SIM-0002;SOU-DC-001;SOU-SRV-OSS-01;APP-OSS;Incident RAM_HIGH sur SOU-SRV-OSS-01;SYSTEME;MAJEURE;P1_CRITIQUE;88;OUVERT;N1
INC-2026-0003;2026-06-16 18:24:39;SIM-0003;ARI-BTS-014;ARI-ENB-014;APP-OSS;Incident RAM_HIGH sur ARI-ENB-014;SYSTEME;CRITIQUE;P1_CRITIQUE;88;OUVERT;N1
INC-2026-0004;2026-06-18 20:17:39;SIM-0004;SOU-DC-001;SOU-SRV-OSS-01;MW-BACKHAUL;Incident LINK_DOWN sur SOU-SRV-OSS-01;RESEAU;CRITIQUE;P1_CRITIQUE;94;OUVERT;N1
INC-2026-0005;2026-06-21 00:10:39;SIM-0005;TUN-POP-001;TUN-RTR-CORE-01;APP-OSS;Incident SERVICE_DOWN sur TUN-RTR-CORE-01;SERVICE;CRITIQUE;P1_CRITIQUE;94;OUVERT;N1
INC-2026-0006;2026-06-17 13:54:39;SIM-0006;ARI-BTS-014;ARI-ENB-014;APP-OSS;Incident SERVICE_DOWN sur ARI-ENB-014;SERVICE;MAJEURE;P1_CRITIQUE;94;OUVERT;N1
INC-2026-0007;2026-06-25 12:11:39;SIM-0007;TUN-POP-001;TUN-SRV-NMS-01;ENERGIE-SITE;Incident POWER_FAIL sur TUN-SRV-NMS-01;ENVIRONNEMENT_SITE;CRITIQUE;P1_CRITIQUE;94;OUVERT;N1
INC-2026-0008;2026-06-17 19:48:39;SIM-0008;TUN-POP-001;TUN-SRV-NMS-01;APP-OSS;Incident SERVICE_DOWN sur TUN-SRV-NMS-01;SERVICE;CRITIQUE;P1_CRITIQUE;94;OUVERT;N1
INC-2026-0009;2026-06-25 08:29:39;SIM-0009;TUN-POP-001;TUN-SRV-NMS-01;ENERGIE-SITE;Incident POWER_FAIL sur TUN-SRV-NMS-01;ENVIRONNEMENT_SITE;CRITIQUE;P3_MOYENNE;62;OUVERT;N1
INC-2026-0010;2026-06-17 04:51:39;SIM-0010;SOU-DC-001;SOU-SRV-OSS-01;SUP-NOC;Incident PING_LOSS sur SOU-SRV-OSS-01;RESEAU;CRITIQUE;P2_HAUTE;73;OUVERT;N1
INC-2026-0011;2026-06-25 14:03:39;SIM-0011;BIZ-BTS-022;BIZ-ENB-022;MW-BACKHAUL;Incident LINK_DOWN sur BIZ-ENB-022;RESEAU;CRITIQUE;P2_HAUTE;81;OUVERT;N1
INC-2026-0012;2026-06-25 09:12:39;SIM-0012;NAB-BTS-031;NAB-ENER-031;APP-OSS;Incident RAM_HIGH sur NAB-ENER-031;SYSTEME;CRITIQUE;P3_MOYENNE;55;OUVERT;N1
INC-2026-0013;2026-06-19 08:33:39;SIM-0013;BIZ-BTS-022;BIZ-ENB-022;APP-OSS;Incident DISK_FULL sur BIZ-ENB-022;INFRASTRUCTURE;CRITIQUE;P1_CRITIQUE;94;OUVERT;N1
INC-2026-0014;2026-06-19 01:59:39;SIM-0014;SOU-DC-001;SOU-SRV-OSS-01;APP-OSS;Incident RAM_HIGH sur SOU-SRV-OSS-01;SYSTEME;CRITIQUE;P2_HAUTE;73;OUVERT;N1
INC-2026-0015;2026-06-23 20:24:39;SIM-0015;NAB-BTS-031;NAB-ENER-031;SUP-NOC;Incident AUTH_FAILURE_SPIKE sur NAB-ENER-031;SECURITE;CRITIQUE;P1_CRITIQUE;88;OUVERT;N1
INC-2026-0016;2026-06-18 22:41:39;SIM-0016;BIZ-BTS-022;BIZ-ENB-022;MW-BACKHAUL;Incident LINK_DOWN sur BIZ-ENB-022;RESEAU;CRITIQUE;P2_HAUTE;73;OUVERT;N1
INC-2026-0017;2026-06-18 18:47:39;SIM-0017;BIZ-BTS-022;BIZ-ENB-022;SUP-NOC;Incident CPU_HIGH sur BIZ-ENB-022;SYSTEME;MINEURE;P1_CRITIQUE;94;OUVERT;N1
INC-2026-0018;2026-06-21 08:58:39;SIM-0018;ARI-BTS-014;ARI-MW-014;SUP-NOC;Incident PING_LOSS sur ARI-MW-014;RESEAU;CRITIQUE;P3_MOYENNE;55;OUVERT;N1
INC-2026-0019;2026-06-22 11:23:39;SIM-0019;ARI-BTS-014;ARI-ENB-014;APP-OSS;Incident SERVICE_DOWN sur ARI-ENB-014;SERVICE;CRITIQUE;P1_CRITIQUE;94;OUVERT;N1
INC-2026-0020;2026-06-20 18:12:39;SIM-0020;SOU-DC-001;SOU-SRV-OSS-01;APP-OSS;Incident SERVICE_DOWN sur SOU-SRV-OSS-01;SERVICE;CRITIQUE;P2_HAUTE;73;OUVERT;N1
