type_alerte,metrique,valeur_mesuree,seuil,unite,ratio_seuil,severite,equipement,heure,jour_semaine,is_anomalie
POWER_FAIL,VOLTAGE,50.49,48,V,1.0519,MINEURE,ARI-ENB-014,4,6,0
RAM_HIGH,RAM,60.99,90,%,0.6777,MINEURE,NAB-ENER-031,14,4,0
PING_LOSS,PACKET_LOSS,5.85,10,%,0.585,MINEURE,NAB-ENER-031,16,3,0
POWER_FAIL,VOLTAGE,51.01,48,V,1.0627,MINEURE,BIZ-ENB-022,5,2,0
POWER_FAIL,VOLTAGE,52.91,48,V,1.1023,CRITIQUE,ARI-ENB-014,21,2,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MAJEURE,NAB-ENER-031,2,5,0
SERVICE_DOWN,SERVICE,0.0,1,etat,0.0,MAJEURE,TUN-RTR-CORE-01,2,2,1
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,CRITIQUE,ARI-ENB-014,0,0,0
AUTH_FAILURE,AUTH_FAIL,3.45,5,count,0.69,CRITIQUE,SOU-SRV-OSS-01,13,4,0
RAM_HIGH,RAM,74.0,90,%,0.8222,MINEURE,BIZ-ENB-022,17,3,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MINEURE,TUN-RTR-CORE-01,1,5,0
POWER_FAIL,VOLTAGE,5.23,48,V,0.109,MAJEURE,BIZ-ENB-022,16,4,1
PING_LOSS,PACKET_LOSS,6.05,10,%,0.605,CRITIQUE,BIZ-ENB-022,14,2,0
PING_LOSS,PACKET_LOSS,6.75,10,%,0.675,MINEURE,ARI-ENB-014,5,6,0
RAM_HIGH,RAM,80.83,90,%,0.8981,MAJEURE,ARI-ENB-014,14,4,0
POWER_FAIL,VOLTAGE,49.49,48,V,1.031,CRITIQUE,ARI-ENB-014,17,3,0
POWER_FAIL,VOLTAGE,48.45,48,V,1.0094,MINEURE,NAB-ENER-031,14,0,0
AUTH_FAILURE,AUTH_FAIL,31.92,5,count,6.384,MAJEURE,SOU-SRV-OSS-01,4,2,1
CPU_HIGH,CPU,36.98,85,%,0.4351,CRITIQUE,ARI-ENB-014,23,3,0
CPU_HIGH,CPU,95.19,85,%,1.1199,CRITIQUE,SOU-SRV-OSS-01,10,5,1
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MAJEURE,BIZ-ENB-022,8,6,0
POWER_FAIL,VOLTAGE,49.37,48,V,1.0285,CRITIQUE,TUN-RTR-CORE-01,10,3,0
SERVICE_DOWN,SERVICE,0.0,1,etat,0.0,CRITIQUE,SOU-SRV-OSS-01,21,4,1
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MAJEURE,ARI-ENB-014,2,4,0
RAM_HIGH,RAM,71.17,90,%,0.7908,CRITIQUE,ARI-ENB-014,7,1,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,CRITIQUE,TUN-RTR-CORE-01,21,4,1
CPU_HIGH,CPU,61.14,85,%,0.7193,CRITIQUE,ARI-ENB-014,14,1,0
AUTH_FAILURE,AUTH_FAIL,2.65,5,count,0.53,CRITIQUE,SOU-SRV-OSS-01,0,0,0
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,MAJEURE,BIZ-ENB-022,3,0,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MAJEURE,NAB-ENER-031,2,5,0
SERVICE_DOWN,SERVICE,0.0,1,etat,0.0,MAJEURE,ARI-ENB-014,3,4,1
RAM_HIGH,RAM,87.51,90,%,0.9723,MAJEURE,TUN-RTR-CORE-01,14,1,0
CPU_HIGH,CPU,33.08,85,%,0.3892,CRITIQUE,ARI-ENB-014,4,6,0
RAM_HIGH,RAM,51.62,90,%,0.5736,CRITIQUE,SOU-SRV-OSS-01,3,0,0
RAM_HIGH,RAM,24.39,90,%,0.271,MINEURE,NAB-ENER-031,11,4,0
POWER_FAIL,VOLTAGE,49.67,48,V,1.0348,MAJEURE,NAB-ENER-031,8,6,0
AUTH_FAILURE,AUTH_FAIL,3.92,5,count,0.784,CRITIQUE,SOU-SRV-OSS-01,0,3,0
POWER_FAIL,VOLTAGE,28.38,48,V,0.5912,MAJEURE,SOU-SRV-OSS-01,17,2,1
AUTH_FAILURE,AUTH_FAIL,2.75,5,count,0.55,CRITIQUE,BIZ-ENB-022,20,4,0
AUTH_FAILURE,AUTH_FAIL,1.23,5,count,0.246,MAJEURE,ARI-ENB-014,3,5,0
SERVICE_DOWN,SERVICE,0.0,1,etat,0.0,CRITIQUE,TUN-RTR-CORE-01,18,3,1
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,CRITIQUE,BIZ-ENB-022,7,2,0
AUTH_FAILURE,AUTH_FAIL,1.22,5,count,0.244,MAJEURE,ARI-ENB-014,7,0,0
